NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Edson Borin","BORIN, E.","3","",0,,,
"Ricardo da Silva Torres","TORRES, R. S.","1","3790201696145434",0,,,
"Caetano Traina Junior","TRAINA JUNIOR, C.","2","",0,,,
"Eduardo Alves do Valle Junior","VALLE JUNIOR, E. A.","4","",0,,,
"Agma Juci Machado Traina","TRAINA, A. J. M.","5","",0,,,
"Edson Borin","BORIN, E.","3","",1,,,
"Sandro Rigo","RIGO, S.","1","8308517667746974",1,,,
"Marcio Seiji Oyamada","OYAMADA, M. S.","2","",1,,,
"Edson Borin","BORIN, E.","2","",2,,,
"Nahri Moreano","MOREANO, N.","1","7109611749276343",2,,,
"Ronaldo Alvez Ferreira","FERREIRA, R. A.","3","",2,,,
"Edson Borin","BORIN, E.","3","",3,,,
"Marco Lúcio Bittencourt","BITTENCOURT, M. L.","1","",3,,,
"Carlos Alberto Cimini Junior","CIMINI JUNIOR, C. A.","2","",3,,,
"Edson Borin","BORIN, E.","2","",4,,,
"Fernando Magno Quintão Pereira","PEREIRA, F. M. Q.","1","4608001746330875",4,,,
"Mariza Andrade da Silva Bigonha","BIGONHA, M. A. S.","3","",4,,,
"Roberto da Silva Bigonha","BIGONHA, R. S.","4","",4,,,
"Edson Borin","BORIN, E.","3","",5,,,
"Anderson Faustino da Silva","SILVA, A. F.","1","",5,,,
"Valéria Delisandra Feltrim","FELTRIM, V. D.","2","",5,,,
"Edson Borin","BORIN, EDSON","3","",6,,,
"Marcio Merino Fernandes","FERNANDES, M. M.","1","",6,,,
"Emerson Carlos Pedrino","PEDRINO, E. C.","2","",6,,,
"Edson Borin","BORIN, E.","3","",7,,,
"Ricardo Menotti","MENOTTI, R.","1","",7,,,
"Vanderlei Bonato","BONATO, V.","2","",7,,,
"Edson Borin","BORIN, E.","3","",8,,,
"Mario Antonio Ribeiro Dantas","DANTAS, M. A. R.","1","",8,,,
"Márcio Bastos Castro","CASTRO, M. B.","2","",8,,,
"Carla Merkle Westphall","WESTPHALL, C. M.","4","",8,,,
"Patricia Della Méa Plentz","PLENTZ, P. D. M.","5","",8,,,
"Edson Borin","BORIN, E.","3","",9,,,
"Ricardo Dahab","DAHAB, R.","1","",9,,,
"Hao-chi Wong","WONG, H.","2","",9,,,
"Edson Borin","BORIN, E.","3","",10,,,
"Rodrigo Fernandes de Mello","MELLO, R. F.","1","",10,,,
"Paulo Aristarco Pagliosa","PAGLIOSA, P. A.","2","",10,,,
"Edson Borin","BORIN, E.","2","",11,,,
"Fernando Magno Quintão Pereira","PEREIRA, F. M. Q.","1","4608001746330875",11,,,
"Fernando Augusto Teixeira","TEIXEIRA, F. A.","3","",11,,,
"Renato Antônio Celso Ferreira","FERREIRA, R. A. C.","4","",11,,,
"Edson Borin","BORIN, E.","2","",12,,,
"Ricardo Ribeiro dos Santos","SANTOS, R. R.","1","",12,,,
"DUENHA, LIANA","DUENHA, LIANA","3","8872648473020443",12,,,
"Edson Borin","BORIN, E.","3","",13,,,
"Anderson F. Da Silva","SILVA, A. F.","1","",13,,,
"Yandre Maldonado e Gomes da Costa","COSTA, Y. M. E. G.","2","",13,,,
"Franklin César Flores","FLORES, F. C.","4","",13,,,
"Edson Borin","BORIN, E.","1","",14,,,
"Sandro Rigo","RIGO, S.","3","8308517667746974",14,,,
"Alexandro José Baldassin","BALDASSIN, A. J.","2","4738829911864396",14,,,
"Edson Borin","BORIN, E.","1","",15,,,
"Philippe Olivier Alexandre Navaux","NAVAUX, P. O. A.","2","",15,,,
"Lucas Francisco Wanner","WANNER, L. F.","3","",15,,,
"Edson Borin","BORIN, E.","3","",16,,,
"Luiz Otávio Saraiva Ferreira","FERREIRA, L. O. S.","1","",16,,,
"Renato Pavanello","PAVANELLO, R.","2","",16,,,
"Edson Borin","BORIN, E.","1","",17,,,
"Sandro Rigo","RIGO, S.","3","8308517667746974",17,,,
"Ricardo Menotti","MENOTTI, R.","2","",17,,,
"Edson Borin","BORIN, E.","1","",18,,,
"Sandro Rigo","RIGO, S.","2","8308517667746974",18,,,
"Anderson Faustino da Silva","SILVA, A. F.","3","",18,,,
"Edson Borin","BORIN, EDSON","2","",19,,,
"Fernando Magno Quintão Pereira","PEREIRA, F. M. Q.","1","4608001746330875",19,,,
"Mario Sérgio Ferreira Alvim Júnior","ALVIM JUNIOR, M. S. F.","3","",19,,,
"Edson Borin","BORIN, E.","2","",20,,,
"Alice Maria Bastos Hubinger Tokarnia","TOKARNIA, A. M. B. H.","1","",20,,,
"Eleri Cardozo","CARDOZO, E.","3","",20,,,
"Edson Borin","BORIN, E.","5","",,0,,
"Guido Araújo","ARAUJO, G.","1","8683914780987242",,0,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","3","",,0,,
"Philippe Olivier Alexandre Navaux","NAVAUX, P. O. A.","2","",,0,,
"Luis Eduardo Buzato","BUZATO, L. E.","4","",,0,,
"Edson Borin","BORIN, E.","5","",,1,,
"Ricardo da Silva Torres","TORRES, R. S.","1","3790201696145434",,1,,
"Mario Antonio do Nascimento","NASCIMENTO, M. A.","2","",,1,,
"Herman Martins Gomes","GOMES, H. M.","3","",,1,,
"Hélio Pedrini","PEDRINI, H.","4","",,1,,
"Edson Borin","BORIN, E.","3","",,2,,
"Philippe Olivier Alexandre Navaux","NAVAUX, P. O. A.","1","",,2,,
"Flávio Rech Wagner","WAGNER, F. R.","2","",,2,,
"Mônica Magalhães Pereira","PEREIRA, M. M.","4","",,2,,
"Edson Borin","BORIN, E.","5","",,3,,
"Hermes Senger","SENGER, H.","2","",,3,,
"Regina Helena Carlucci Santana","SANTANA, R. H. C.","1","",,3,,
"Sarita Mazzini Bruschi","BRUSCHI, S. M.","3","",,3,,
"Mario Antonio Ribeiro Dantas","DANTAS, M. A. R.","4","",,3,,
"Edson Borin","BORIN, E.","2","",,4,,
"Marcio Merino Fernandes","FERNANDES, M. M.","3","",,4,,
"Eduardo Marques","MARQUES, E.","1","",,4,,
"João Manuel Paiva Cardoso","CARDOSO, J. M. P.","4","",,4,,
"Pedro Nuno Cruz Diniz","DINIZ, P. N. C.","5","",,4,,
"Edson Borin","BORIN, E.","2","",,5,,
"Martin Tygel","TYGEL, M.","1","",,5,,
"Tiago Antonio Alves Coimbra","COIMBRA, T. A. A.","3","",,5,,
"Armando Lopes Farias","FARIAS, A. L.","4","",,5,,
"Rodrigo Bloot","BLOOT, R.","5","",,5,,
"Edson Borin","BORIN, E.","5","",,6,,
"Anderson F. Da Silva","SILVA, A. F.","4","",,6,,
"Alfredo Goldman","GOLDMAN, A.","1","",,6,,
"Ricardo Menotti","MENOTTI, R.","2","",,6,,
"Marco Dimas Gubitoso","GUBITOSO, M. D.","3","",,6,,
"Edson Borin","BORIN, E.","1","",,7,,
"Sandro Rigo","RIGO, S.","5","8308517667746974",,7,,
"Philippe Olivier Alexandre Navaux","NAVAUX, P. O. A.","2","",,7,,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","4","",,7,,
"Fernando Magno Quintão Pereira","PEREIRA, F. M. Q.","3","4608001746330875",,7,,
"Edson Borin","BORIN, E.","2","",,,0,
"Mario Lúcio Côrtes","CORTES, M. L.","1","",,,0,
"Alice Maria Bastos Hubinger Tokarnia","TOKARNIA, A. M. B. H.","3","",,,0,
"Paulo Cesar Centoducatte","CENTODUCATTE, P. C.","4","0758877444698557",,,0,
"Edson Borin","BORIN, E.","2","",,,1,
"Guido Araújo","ARAUJO, G.","1","8683914780987242",,,1,
"Ricardo Ribeiro dos Santos","SANTOS, R. R.","3","",,,1,
"Edson Borin","BORIN, E.","3","",,,2,
"Luigi Carro","CARRO, L.","1","",,,2,
"Flávio Rech Wagner","WAGNER, F. R.","2","",,,2,
"Edson Borin","BORIN, E.","2","",,,3,
"Mario Lúcio Côrtes","CORTES, M. L.","4","",,,3,
"Guido Araujo","ARAUJO, G.","1","8683914780987242",,,3,
"Fernando Gehm Moraes","MORAES, F. G.","3","",,,3,
"Ney Laert Vilar Calazans","CALAZANS, N. L. V.","5","",,,3,
"Edson Borin","BORIN, E.","1","",,,4,
"Anderson F. Da Silva","SILVA, A. F.","2","",,,4,
"Alfredo Goldman","GOLDMAN, A.","3","",,,4,
"Edson Borin","BORIN, E.","2","",,,5,
"Luis Otávio Saraiva Ferreira","FERREIRA, L. O. S.","1","",,,5,
"William Wolf","WOLF, W.","3","",,,5,
"Edson Borin","BORIN, EDSON","2","",,,6,
"Julio César López Hernández","HERNANDEZ, J. C. L.","1","",,,6,
"Diego de Freitas Aranha","ARANHA, D. F.","3","",,,6,
"Edson Borin","BORIN, E.","2","",,,7,
"Sandro Rigo","RIGO, S.","3","8308517667746974",,,7,
"Luiz Fernando Bittencourt","BITTENCOURT, L. F.","1","",,,7,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","4","",,,7,
"Edson Borin","BORIN, E.","1","",,,8,
"Alexandro José Baldassin","BALDASSIN, A. J.","3","4738829911864396",,,8,
"Diego de Freitas Aranha","ARANHA, D. F.","2","",,,8,
"Edson Borin","BORIN, EDSON","2","",,,9,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","3","",,,9,
"Christian Esteve Rothenberg","ROTHENBERG, C. E.","1","",,,9,
"Edson Borin","BORIN, E.","2","",,,10,
"Philippe Olivier Alexandre Navaux","NAVAUX, P. O. A.","3","",,,10,
"Luiz Eduardo Buzato","BUZATO, L. E.","1","",,,10,
"Edson Borin","BORIN, E.","2","",,,11,
"Ricardo Dahab","DAHAB, R.","1","",,,11,
"Julio César López Hernández","HERNANDEZ, J. C. L.","3","",,,11,
"Edson Borin","BORIN, E.","1","",,,12,
"Islene Calciolari Garcia","GARCIA, I. C.","2","",,,12,
"Lucas Francisco Wanner","WANNER, L. F.","3","",,,12,
"Edson Borin","BORIN, E.","3","",,,13,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","2","",,,13,
"Lucas Francisco Wanner","WANNER, L. F.","1","",,,13,
"Edson Borin","BORIN, E.","1","",,,14,
"Mario Antonio Ribeiro Dantas","DANTAS, M. A. R.","2","",,,14,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",,,14,
"Edson Borin","BORIN, E.","1","",,,15,
"Diego de Freitas Aranha","ARANHA, D. F.","2","",,,15,
"Lucas Francisco Wanner","WANNER, L. F.","3","",,,15,
"Edson Borin","BORIN, E.","3","",,,16,
"Sandro Rigo","RIGO, S.","2","8308517667746974",,,16,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","1","",,,16,
"Edson Borin","BORIN, E.","2","",,,17,
"Ricardo Dahab","DAHAB, R.","4","",,,17,
"Julio César López Hernández","HERNANDEZ, J. C. L.","1","",,,17,
"Diego de Freitas Aranha","ARANHA, D. F.","3","",,,17,
"Edson Borin","BORIN, E.","2","",,,18,
"Sandro Rigo","RIGO, S.","1","8308517667746974",,,18,
"José Nelson Amaral","AMARAL, J. N.","3","",,,18,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","4","",,,18,
"Alexandro José Baldassin","BALDASSIN, A. J.","5","4738829911864396",,,18,
"Edson Borin","BORIN, E.","3","",,,,0
"Wesley Attrot","ATTROT, W.","1","5644676140910061",,,,0
"Adilson Luis Bonifácio","BONIFÁCIO, A. L.","2","",,,,0
"Edson Borin","BORIN, E.","1","",,,,1
"Glauber Modolo Cabral","CABRAL, G. M.","2","",,,,1
"Anderson Faustino da Silva","SILVA, A. F.","3","",,,,1
"Edson Borin","BORIN, E.","6","",,,,2
"Regina Célia Coelho","COELHO, R. C.","1","",,,,2
"Carlos Marcelo Gurjão de Godoy","GODOY, C. M. G.","2","",,,,2
"Enio Roberto Ribeiro","RIBEIRO, E. R.","3","",,,,2
"Marcio Merino Fernandes","FERNANDES, M. M.","4","",,,,2
"Samuel Euzédice de Lucena","LUCENA, S. E.","5","",,,,2
"Edson Borin","BORIN, E.","2","",,,,3
"Ricardo Menotti","MENOTTI, R.","3","",,,,3
"Vanderlei Bonato","BONATO, V.","4","",,,,3
"Orides Morandin Junior","MORANDIN JUNIOR, O.","1","",,,,3
"Dennis Brandão","BRANDAO, D.","5","",,,,3
